month,outlet_id,name,trading_area,company,class_of_market,lat,lng,ms,hsd,ms_ly,hsd_ly,,,,
2026-06,289389,KHALOORIKA PETROLEUM,TIRUR (ON EZHUR ROAD),IOC,C,10.904376,75.939109,32,16,36,24,,,,
2026-06,125236,KIMS PETROLEUM,KOTTAKKAL (ON SH),IOC,D2,11.009417,76.014228,130,185,100,145,,,,
2026-06,187723,KIRAN PETROLEUM,THIRUNAVAYA,IOC,E,10.863214,75.974678,72,72,70,82,,,,
2026-06,381831,KLS ZAEEM PETROLEUM,THAVANUR,IOC,D1,10.8359453,75.9894292,104,108,0,0,,,,
2026-06,378662,KODINHI FUELS,KODINHI,IOC,E,11.006486,75.911834,57,41,18,14,,,,
2026-06,125004,KOOLATH MOHAMMED & SONS,KAKKAD,IOC,D1,,,0,0,0,0,,,,
2026-06,288174,KTJ PETROLEUM,VALANCHERY-KOPPAM ROAD,IOC,E,10.8811232,76.0864122,144,120,124,104,,,,
2026-06,366596,ARAFA PETROMART,VAKKAD,IOC,E,10.8922839,75.9133662,0,0,0,0,,,,
2026-06,333010, MUTHUVALLUR PETROLEUM,MUTHUVALLUR,IOC,E,11.1775,76.0016219,45,35,53,39,,,,
2026-06,385641,MACHINGAPARA FUELS,MACHINGAPARA,IOC,E,10.9478567,75.9544234,0,0,0,0,,,,
2026-06,353705,MALAPPURATH PETROLEUM,MATHAMKULAM,IOC,E,11.11675,75.93966,24,36,32,28,,,,
2026-06,277552,MALIYAKKAL,OORAKAM,IOC,D2,11.0648,76.0286,130,230,106,278,,,,
2026-06,339065,MALIYAKKAL PETROLEUM,KANNAMANGALAM,IOC,E,11.099242,75.974777,12,104,8,106,,,,
2026-06,331474,MANISSERY FUELS,Naduvattom Karinkalathani Road,IOC,E,10.759932,75.972687,105,79,111,59,,,,
2026-06,371069,MEKKAMANNIL PETROLEUMS,MATHAMKULAM,IOC,E,11.1294769,75.946753,55,63,0,0,,,,
2026-06,372984,MKM PETROLEUM,KAKKANCHERY,IOC,D1,11.1416285,75.8949887,66,50,0,0,,,,
2026-06,386743,MUGHAL PETROLEUM,CHELARI,IOC,D1,11.109472,75.890404,0,0,0,0,,,,
2026-06,124986,N.C. PETROLEUM ENTERPRISES,CHELARI,IOC,D1,11.111501,75.889906,28,32,64,60,,,,
2026-06,328648,NALLATUTHODIKA PETROLEUM,Kanjipura Moodal Bypass,IOC,E,10.8971,76.04429,68,76,48,48,,,,
2026-06,187703,NEELANKATH VEERANKUTTY HAJI,KOTTAKKAL (ON NH),IOC,D1,10.99159,75.993119,160,160,136,178,,,,
2026-06,193920,NICE PETROLUEM,Edappal (on MDR),IOC,E,10.787483,75.977958,88,60,112,70,,,,
2026-06,216348,NIMS PETROLEUM,CHIRAMANGALAM,IOC,E,11.026891,75.8675,62,156,64,86,,,,
