month,outlet_id,name,trading_area,company,lat,lng,ms,hsd,ms_ly,hsd_ly
2025-08,289393,CHAKKEERI PETROLEUM,CHERUR,IOC,,,55,85,59,75
2025-08,252629,UCHAKKAVIL FUELS,CHEMMAD,IOC,,,76,80,88,68
2025-08,367798,ZEAL FUELS,CHEMBRA,IOC,,,16,8,0,0
2025-08,124986,N.C. PETROLEUM ENTERPRISES,CHELARI,IOC,,,72,62,72,60
2025-08,335802,ENERGY FUEL PARK,Changaramkulam,IOC,,,138,116,125,108
2025-08,187704,CKM ASSOCIATES ,Changaramkulam,IOC,,,177,127,165,114
2025-08,125235,P HAMZA HAJI & SONS,B.P ANGADI,IOC,10.902279,75.923327,116,112,138,153
2025-08,188253,ALKOS PETROLEUM AGENCY,B.P ANGADI,IOC,10.889744,75.929782,135,107,123,111
2025-08,188258,PRABHA FUEL STATION,AYIKKARAPPADI,IOC,,,52,68,60,72
2025-08,346531,ZEAL PETROLEUM,AILATHUR,IOC,,,73,39,152,123
2025-08,380970,GRAND  FUELS,Kottakkal-Indianoor,IOC,,,0,0,0,0
2025-08,381831,KLS ZAEEM PETROLEUM,THAVANUR,IOC,,,0,0,0,0
2025-08,52021446,JPS PETROLEUM,THANALUR,MRPL,,,96,100,70,70
2025-08,52021106,MOONAKKAL PETROLEUM,POOKATTIRI,MRPL,,,90,99,75,80
2025-08,52020226,KAPPADAN FUELS,MUTHUVALLUR,MRPL,,,90,98,75,80
2025-08,52021226,SMILE FUELS,KURUMBATHUR,MRPL,,,85,105,70,85
2025-08,52017906,ENOC PETROL STATION,KUNNUMPURAM,MRPL,,,88,104,80,80
2025-08,52025746,Adnoc Fuels,CHETTIPADI TO CHELARI,MRPL,,,28,94,0,0
2025-08,52015446,NASEER PETROLEUM,AYIKKARAPPADI,MRPL,,,145,120,145,140
2025-08,25816909337,MALABAR PETROLEUM,VENGARA,NEL,,,80,98,80,76
2025-08,51814369,Thadathil Petroleum,VATTATHANI,NEL,,,95,76,95,76
2025-08,25816910010,PMH PETROLEUM,VALIYAPARAMBU,NEL,,,80,94,70,80
2025-08,51818206,KRS PETRO PARK,VAILATHUR,NEL,,,55,63,55,63
2025-08,51810126,NVP PETROLEUM AGENCY,THEYYALA,NEL,,,62,86,65,70
2025-08,51816866,Pioneer Venture,RANDATHANI,NEL,,,35,80,35,50
2025-08,40617,REGAL AMPM,PULIKKAL,NEL,,,65,102,70,80
2025-08,35408,City Petroleum,PONNANI (ON NH66),NEL,,,70,90,50,70
2025-08,16481,THIRUVONAM ENTERPRISES,PARAPPANANGADI,NEL,,,65,82,45,45
2025-08,37561,PULIKKAL FUELS,MORAYUR,NEL,,,90,108,85,80
2025-08,41049,Mullakkalam Fuels,MATHAMKULAM,NEL,,,62,84,55,60
2025-08,51820546,RUNWAY PETROLEUM,CHIRAMANGALAM,NEL,,,47,48,55,60
2025-08,41970,KUNNATHERI PETROLEUM,CHELARI,NEL,,,58,90,45,52
2025-08,35407,Emirates Petroleum,Changaramkulam,NEL,,,0,0,0,0
2025-08,51810366,MAGMA FUELS,AYIKKARAPPADI,NEL,,,82,85,80,70
2025-08,51815506,Naft Petroleum ,AILATHUR,NEL,,,75,80,75,70
2025-08,35405,GS International,Valanchery,RIL,,,110,155,110,80
2025-08,16463,Neeliyat Petroleum,TIRUR(ON SH71),RIL,,,109,120,110,104
2025-08,51917907,RAM FUELS,PARAPPANANGADI,RIL,,,173,192,180,210
2025-08,16477,Brothers Petroleum,KOTTAKKAL (ON NH),RIL,,,150,215,180,230
2025-08,35406,C.K.Gopinathan Fuels,Edappal (on SH),RIL,,,0,0,0,0
